// key	CHAT_
c001_17_boss_long	锵～锵！你好，可爱的主人♥
c409_10_skill	能让我咬一大口吗？
c409_10_spa	来玩水吧！
c409_10_startbt	如果我赢了的话，你会给我奖励吗？
c409_10_story1	嗯！\超好吃！
c409_10_story2	这是你送我那些好吃甜甜圈的谢礼喔♥
c409_10_story3	我要战斗。\跑吧，小不点Child！
c409_10_true1	如果有人送你甜甜圈，他们一定不是坏人。\如果我跟着他们走，他们还会给我更多！
c409_10_true2	当你说到甜甜圈，\你会想到什么？那就是警察！\他们超酷的！\我也会帮忙喔！
c409_10_true3	从现在开始，我……\我会跟你一起奋战。
c409_10_victory	用甜甜圈奖励我。♥
c409_boss_long	早点把事情办完，然后吃个点心休息一下吧♥
c409_boss_short	喔！\有好多我想吃的东西！♥
c409_ctskill	我会让你吃很多很多的！
c409_death_1	不，我不喜欢这样……
c409_death_2	啊。我真讨厌这样！
c409_drive	甜点胃，启动！
c409_hit_1	啊！
c409_hit_2	不行！
c409_hit_3	呜哇……
c409_prskill	让我们来场甜甜圈派对吧！
c409_skill	来，说「啊～」
c409_spa	来玩水吧！
c409_startbt	嗯！\好好吃♥
c409_story1	嘻嘻嘻♥\主人在试过之后，就会改变自己的想法喔。\你会发现甜甜圈能带来幸福的♥\
c409_story2	主人给我这个甜甜圈的瞬间，\我就能想到那个小女孩两眼放光，\神情喜悦地吃着这个甜甜圈。
c409_story3	别这样。\有什么比跟其他人分享美食\更能拉近距离的？\嘻嘻嘻♥
c409_true1	呼，嗯！这个甜甜圈实在太好吃了♥\就把它当作主人的命运甜甜圈候补吧。\真想尽快让主人尝尝呢。\嘻嘻嘻♥
c409_true2	当那个女孩吃下我放在她桌上的甜甜圈时，\她看起来超开心的。\看起来她真的很喜欢\我送的蜜桃奶油甜甜圈♥
c409_true3	嘻嘻♥为你寻找命运甜甜圈\只是借口而已。\其实在我逼你吃甜甜圈时，你那不情愿的表情\实在太可爱了，所以我忍不住一直让你吃～♥
c409_victory	啊，我好饱♥
c410_boss_long	废话连篇，吵死人了！
c410_boss_short	噢，你来啦。
c410_ctskill	放马过来吧！
c410_death_1	你……运气不错……
c410_death_2	呜！
c410_drive	想知道你能不能打败我！
c410_hit_1	刚刚那是攻击吗？
c410_hit_2	你在找谁打架？
c410_hit_3	咕哇！
c410_prskill	你打算往哪里逃？！
c410_skill	你完了！
c410_spa	你觉得这种程度会让我满意吗？\给我拿些冷水来。
c410_startbt	这没什么了不起的！
c410_story1	啊，\我有个想法！\打败她之后，\我要把一切都收拾得干干净净！
c410_story2	果然，我还是得杀了鲁弗斯，不是吗？\唉，\真麻烦啊。
c410_story3	听着。\恶魔是毁灭性的物种。\欺骗人类的最终目的是\促进人类的毁灭。
c410_true1	你我这样相遇一定是命中注定的。\想再进行一场有趣的战斗吗？\哈哈哈！吓到你了吗？\我开玩笑的。
c410_true2	人界没那么有趣，真的。\你不能像在魔界一样每天发动战争。
c410_true3	嘿，你要怀疑我多久？\相信我，好吗？\我会为你战斗到底的。\只要你还是我的主人。
c410_victory	好嗨呦！
c412_88_boss_long	我以殉教者的鲜血命令你。
c412_88_boss_short	主啊，请垂怜。
c412_88_bubble_prskill	请为我们祈祷。
c412_88_bubble_skill	请聆听我的祷告。
c412_88_ctskill	请宽恕我……
c412_88_death_1	主啊……罪人回来了……
c412_88_death_2	怜悯……
c412_88_drive	至高无上者号令……
c412_88_hit_1	就像一开始……
c412_88_hit_2	啊……
c412_88_hit_3	呃……
c412_88_hit_4	退下！
c412_88_hit_5	耍花招……
c412_88_hit_6	可恶！
c412_88_hit_7	宽恕我们吧。
c412_88_hit_8	消失吧，恶魔！
c412_88_hit_9	你怎么……
c412_88_prskill	请为我们祈祷。
c412_88_skill	请聆听我的祷告。
c412_89_boss_long	我以殉教者的鲜血命令你。
c412_89_boss_short	主啊，请垂怜。
c412_89_bubble_prskill	请为我们祈祷。
c412_89_bubble_skill	请聆听我的祷告。
c412_89_ctskill	请宽恕我……
c412_89_death_1	主啊……罪人回来了……
c412_89_death_2	怜悯……
c412_89_drive	至高无上者号令……
c412_89_hit_1	就像一开始……
c412_89_hit_2	啊……
c412_89_hit_3	呃……
c412_89_hit_4	退下！
c412_89_hit_5	耍花招……
c412_89_hit_6	可恶！
c412_89_hit_7	宽恕我们吧。
c412_89_hit_8	消失吧，恶魔。
c412_89_hit_9	你怎么……
c412_89_prskill	请为我们祈祷。
c412_89_skill	请聆听我的祷告。
c412_boss_long	请指引我的灵魂。
c412_boss_short	请垂怜。
c412_ctskill	请宽恕我……
c412_death_1	主啊……罪人回来了……
c412_death_2	怜悯……
c412_drive	我成为主的使者！
c412_hit_1	唉……
c412_hit_2	呜啊……
c412_hit_3	呃！
c412_prskill	这是主的命令！
c412_skill	听从主的声音！
c412_spa	赐予我勇气，不被\撒旦所迷惑。
c412_startbt	主，请保佑我。
c412_story1	主，请宽恕我们吧。
c412_story2	世间万物皆有自己的使命。\如果这是主的旨意，那我就顺从它。
c412_story3	是时候纠正一切错误了。\主如是说，\“你既是灰土，你还要归于灰土。”
c412_true1	亚伯，是你吗？\你最终会原谅我吗？\真奇怪。你应该已经死了。\哼，我好像在做噩梦。
c412_true2	早上好，亚伯。\我想今天会是漫长的一天。\因为你总是乱来。\如果你遇上麻烦，就告诉我。
c412_true3	啊，亚伯。我又做梦了……跟平时一样的梦。\我亲手杀了你。我活下来了……\然后我听到了那个人的声音。\它向我呼喊，问我是否终于听到了。
c412_victory	主啊，谢谢您。
c414_10_boss_long	都到这里了你却准备逃跑？！
c414_10_boss_short	我的对手是谁？
c414_10_ctskill	还没结束呢！
c414_10_death_1	哼。你运气不错。
c414_10_death_2	呃……
c414_10_drive	碰上我是你的不幸！
c414_10_hit_1	别太激动了！
c414_10_hit_2	可恶！
c414_10_hit_3	不可能！
c414_10_prskill	你挺厉害嘛！
c414_10_skill	破绽百出！
c414_10_spa	哈，我不太喜欢\洗热水澡。
c414_10_startbt	你能跟上吗？
c414_10_story1	哪里有水，我就会去哪里！\对一名水射手而言，水代表着一切！
c414_10_story2	丽莎。我可以给你一个找回尊严的机会。\这次不要让安妮插手。\独自面对我吧！
c414_10_story3	偶尔放下枪，\享受一下平静的日常生活也不赖！
c414_10_true1	水枪战凭实力说话。\如果你想赢，就不能抱有侥幸心理。\唯一要做的就是去战斗。
c414_10_true2	丽莎？\安妮甚至给了她一把水枪。\我不能小觑这个对手。
c414_10_true3	你想知道我为什么要打水枪战吗？\为了成为传奇。\为了名垂青史。\仅此而已。
c414_10_victory	刚才的战斗很了不起！
c414_89_boss_long	你在挑战我吗？你不过是个孩子。
c414_89_boss_short	我一直在等这一刻！
c414_89_ctskill	哼。虚张声势。
c414_89_death_1	枪手……\即使死了……\也不会把后背暴露给对手……
c414_89_death_2	呃啊…
c414_89_drive	射手从不回头！
c414_89_hit_1	啊！
c414_89_hit_2	唔哇啊！
c414_89_hit_3	哈哈哈！
c414_89_hit_4	自大的家伙！
c414_89_hit_5	有趣……
c414_89_hit_6	怎么会……
c414_89_hit_7	那也算攻击？
c414_89_hit_8	你挺厉害嘛！
c414_89_hit_9	唔！
c414_89_prskill	你敢把视线从我的身上挪开？！
c414_89_skill	让我看看你的实力吧！
c414_boss_long	都到这里了你却准备逃跑？！
c414_boss_short	我的对手是谁？
c414_ctskill	哼。虚张声势。
c414_death_1	枪手……\即使死了……\也不会把后背暴露给对手……
c414_death_2	呃啊…
c414_drive	游戏时间结束了！
c414_hit_1	呃！
c414_hit_2	呃！
c414_hit_3	你犯了一个严重的错误……
c414_prskill	我的目标是逃不出我的手掌心的！
c414_skill	交给我吧！
c414_spa	温泉是禁止水枪战的。\即使是水射手，也会遵守这条规矩。
c414_startbt	躲在我后面！
c414_story1	哪里有水，我就会去哪里！\对一名水射手而言，水代表着一切！
c414_story2	丽莎。我可以给你一个找回尊严的机会。\这次不要让安妮插手。\独自面对我吧！
c414_story3	偶尔放下枪，\享受一下平静的日常生活也不赖！
c414_true1	水枪战凭实力说话。\如果你想赢，就不能抱有侥幸心理。\唯一要做的就是去战斗。
c414_true2	丽莎？\安妮甚至给了她一把水枪。\我不能小觑这个对手。
c414_true3	你想知道我为什么要打水枪战吗？\为了成为传奇。\为了名垂青史。\仅此而已。
c414_victory	刚才的战斗很了不起！
c415_boss_long	这点实力，就想做我的对手吗？
c415_boss_short	又快又准！
c415_ctskill	清凉一下吧！
c415_death_1	再次见面时，我一定……
c415_death_2	呃呜呜……
c415_drive	胜负已决。
c415_hit_1	嘿嘿！
c415_hit_2	没意思。
c415_hit_3	咕哇！
c415_prskill	乱七八糟。
c415_skill	你太膨胀了。
c415_spa	清凉的山涧不错，\但暖和的温泉也不差。
c415_startbt	支援我！
c415_story1	我能感受到你的赤诚之心。\你配得上这把喷水龙！
c415_story2	听着，我教过你很多东西。\但归根结底，水枪战是拿着水枪\去战斗。
c415_story3	你不玩水枪战实在太可惜了。\好在我们娱乐的方式\不止这一种……
c415_true1	可以说，耐心和自制力是\水射手的美德。\从这一点上说，你还不够格。
c415_true2	没有永远的夏天。\很遗憾，但也没有办法。\当然，只要你愿意等待，\不久后又会迎来新的夏天。
c415_true3	丽莎和妲比是我最看重的徒弟。\我们之间有着特别的缘分。\谢谢你让我跟她们相遇。
c415_victory	你欠我一份人情，你知道吧？
c416_10_boss_long	别跑啊。
c416_10_boss_short	你遇到我就代表好运用完啦！
c416_10_ctskill	吓！我吓到你了，对吧？
c416_10_death_1	哦，天啊……我也比以前还强……
c416_10_death_2	我们改天再一起玩吧……
c416_10_drive	我会把你送往黄泉的！
c416_10_hit_1	哦，拜托啦！
c416_10_hit_2	我会报仇的。
c416_10_hit_3	好痛……
c416_10_prskill	呿，你应该要早点逃的。
c416_10_skill	啊哈哈哈！
c416_10_spa	来吧……\我们一起进去。\把回家这件事忘了吧。
c416_10_startbt	我们来一决胜负吧。如何？
c416_10_story1	话都说了，但依旧听不懂。\我认识一个这样的笨蛋。
c416_10_story2	我知道自己没参加魔王争夺战，\所以没资格这样说，\但如果你能活着脱身，\那我也不会说那是输了。
c416_10_story3	在驱魔师的帮忙下摆脱童贞的恶魔……\这真是个恐怖故事，对吧？
c416_10_true1	真可惜。不是很聪明，但还是个可爱的恶魔。\我很庆幸卡那罗不喜欢水枪。
c416_10_true2	我还以为你死了……\好险我错了。
c416_10_true3	到此之前都是和平但无聊的普通日子。\但我现在玩得很开心。
c416_10_victory	这可不是比水枪战还好玩吗？！
c416_87_boss_long	我看起来有这么强吗？\别吓到了。
c416_87_boss_short	鼓起勇气吧！
c416_87_bubble_prskill	我会让你见识真正的我。
c416_87_bubble_skill	你很快就会变成幽灵了……\嘿嘿嘿。
c416_87_ctskill	吓！我吓到你了，对吧？
c416_87_death_1	哦，天啊……我也比以前还强……
c416_87_death_2	我们改天再一起玩吧……
c416_87_drive	你的墓碑上要刻什么？
c416_87_hit_1	唔！
c416_87_hit_2	哎呀……
c416_87_hit_3	竟然还能反击？
c416_87_hit_4	嘿嘿嘿……
c416_87_hit_5	结束了吗？
c416_87_hit_6	啊……
c416_87_hit_7	哦，天啊。
c416_87_hit_8	我说过这会很痛了。
c416_87_hit_9	不！！！！！！
c416_87_prskill	我会让你见识真正的我。
c416_87_skill	你的墓碑上要刻什么？
c416_boss_long	你见过鬼火吗？
c416_boss_short	好运用完了，对吧？
c416_ctskill	我吓到你了吗？\嘻嘻！
c416_death_1	死亡并不是终点……\你知道的吧？
c416_death_2	嘻嘻嘻！
c416_drive	我想听你尖叫。
c416_hit_1	呜！
c416_hit_2	唔！
c416_hit_3	唔啊啊啊啊~！啊！
c416_prskill	你逃不掉的！
c416_skill	嘘。安静点。
c416_spa	哦，对啊。这是秘密，但……\我告诉你。\那个小姐一直\在盯着你看。
c416_startbt	你刚才听到奇怪的声音了吗？
c416_story1	真是的。哼，烦死了。\我为什么会有\这样的姐姐？
c416_story2	我以为这里的日子会好过一些。\但一边照顾不谙世事的她们\一边维持生计生活，\比想象中要辛苦。
c416_story3	一般来说，只有害怕幽灵的人才会上当，但你好像也上当了。
c416_true1	不觉得水枪战很幼稚吗？\还是吓唬胆小鬼\更好玩。\嘻嘻！
c416_true2	你知道吗？据说随身带七根猫毛，\能带来好运。\想想看，你不就是猫的后代吗？\嘻嘻！还是小心点比较好呢！
c416_true3	你不该无视灵魂的存在。\死亡不代表着终结。\你现在应该见过它们了……\对吧？
c416_victory	什么？\真不敢相信已经结束了。
c417_10_boss_long	就连我们狐狸都喜欢玩水。
c417_10_boss_short	妾身喜欢凉荫之地！
c417_10_ctskill	太慢了。
c417_10_death_1	真烦人！
c417_10_death_2	啊……妾身的爱人……
c417_10_drive	你必须用生命为此付出代价。
c417_10_hit_1	哈啊！
c417_10_hit_2	唉……
c417_10_hit_3	好痛！
c417_10_prskill	闭嘴。
c417_10_skill	我回来了！
c417_10_spa	住手！不要没经过允许就碰妾身的尾巴。
c417_10_startbt	妾身讨厌热！
c417_10_story1	如果妾身能找到一个和他一样，能让妾身那么真心深爱的人，\那妾身就会彻底奉上自己的身心。\妾身在寻找的，就是那样的幸福。
c417_10_story2	妾身对这些被虚情假意控制的男人\一点兴趣都没有。\但是肉什么罪过都没有。
c417_10_story3	嗯……\这样想的话，妾身真是对他做了坏事呢。\而且在我们经历了那些事后，\也许别给他带来更多麻烦才是最好的……
c417_10_true1	你说会照顾妾身的。结果连10人份的肉\都没办法买给妾身。你应该为此感到可耻！
c417_10_true2	妾身还能再\爱人吗？妾身也不知道……
c417_10_true3	妾身想守护自己的承诺。\肉能帮助我忘掉过去。
c417_10_victory	这就对了！
c417_89_boss_long	痛失爱人的心情……\你肯定不懂！
c417_89_boss_short	啊……我的爱情……
c417_89_ctskill	尝尝痛苦的滋味吧。
c417_89_death_1	啊……到头来，我爱的，只有他一个……
c417_89_death_2	这样……我就能去你身边了……
c417_89_drive	承受我的怨恨吧！
c417_89_hit_1	哎呀！
c417_89_hit_2	呃……
c417_89_hit_3	呵呵。你让我笑了。
c417_89_hit_4	你在碰哪里？！
c417_89_hit_5	别碰我的尾巴！
c417_89_hit_6	你竟然……
c417_89_hit_7	呃啊！
c417_89_hit_8	嚯……真没想到。
c417_89_hit_9	无礼！
c417_89_prskill	我鄙视你！
c417_89_skill	我想知道。你这样的人能经受得住吗？
c417_boss_long	我……我在寻找新的爱情。
c417_boss_short	我要让你见识一下真正的地狱。
c417_ctskill	接招吧。
c417_death_1	啊，太烦人了……
c417_death_2	啊……我终于……见到我爱的人了……
c417_drive	你休想逃出我的手掌心。
c417_hit_1	嗯！
c417_hit_2	什么？你刚才碰我了吗？
c417_hit_3	好痒。
c417_prskill	让我想想。玩我的尾巴吧。
c417_skill	我想知道。你这样的人能经受得住吗？
c417_spa	喂！没经过同意，不准碰我的尾巴。
c417_startbt	你可以跑到天涯海角，但你逃不出我的手掌心。
c417_story1	如果我能找到一个像我爱过的那个人一样值得\深爱的人，我会全心全意地投入在他身上。\我要寻找这样的幸福。
c417_story2	我对迷恋虚假\爱情的男人毫无兴趣。\但肉是无辜的。♥
c417_story3	嗯……\这么说，是我对他造成了伤害。\在我们一起经历了这么多之后，\也许我不该给他带来这么多麻烦……
c417_true1	寻找新爱。\谈何容易。
c417_true2	现代的肉料理都是这样吗？！\肉汁丰富，口感绝佳……啊，我希望我的新爱人\能给我很多很多肉吃！
c417_true3	贫穷意味着你买不起很多肉给我。\但是，你为我烤的肉别有一番滋味。\哼，我不会反对你做我的新爱人的。
c417_victory	失败者应该献肉给我！
c418_boss_long	我要用正义之锤讨伐所有罪犯。
c418_boss_short	你是我的对手吗？\有点意思……
c418_ctskill	绝不放过邪恶势力！
c418_death_1	啊……\我还想多陪你一会儿……
c418_death_2	我没能完成我的使命……\请原谅我……
c418_drive	我会全力以赴的！
c418_hit_1	呜啊……
c418_hit_2	呃……
c418_hit_3	无礼！
c418_prskill	我来告诉你什么是真正的正义！
c418_skill	如果可以的话，请住手！
c418_spa	啊……这真是个……放松的好地方。
c418_startbt	我来让你见识一下真正的战斗！
c418_story1	我最近到底怎么了？\我平时很少这样。
c418_story2	一开始我对她一无所知。\但自从我第一次见到她起，\就产生了保护她的冲动。
c418_story3	这附近的爬虫们给我听好了！\我绝不轻饶任何一个\刁难玉藻的家伙！
c418_true1	自从与高僧的弓融为一体后，\我的心发生了意想不到的变化。\除了接受它，我别无选择。
c418_true2	在这个世界上，有太多人带着\邪念接近你。\我只能选择保护你。
c418_true3	我打算永远待在你身边。\无论你遇到什么危险，我都会奋不顾身地保护你。\这就是我告诉你要相信我的理由。
c418_victory	毫无悬念的结局。
c419_boss_long	所以……你觉得我怎么样……？
c419_boss_short	你喜欢她吗？
c419_ctskill	你一定要逼我说出口吗？
c419_death_1	呜……唔哇啊啊啊……
c419_death_2	骗子。
c419_drive	昨晚……很愉快。
c419_hit_1	可以啊。
c419_hit_2	呜……
c419_hit_3	喝！
c419_prskill	你真好色……
c419_skill	……你喜欢眼前看到的吧。
c419_spa	呃……你可以不要这样盯着我看吗？人家很害羞的……
c419_startbt	欢迎光临。
c419_story1	我对你的过去不感兴趣，因为那都不重要。
c419_story2	但从现在开始……如果你劈腿了……我可是会很生气的。
c419_story3	只要我在你心中排第一就行，我对你和她的来往没有兴趣。我们之间还是会保持原状的。
c419_true1	婚姻只不过是「传统」的一部分，对吧？说真的，有谁甘愿被束缚呢？
c419_true2	听着……我来这里是因为我喜欢你。
c419_true3	你这是什么意思？这样很正常，不是吗？只要你永远不会背叛我……你怎么生活都可以……
c419_victory	嘻嘻，谢了……
c420_10_boss_long	喂……喂……你是认真的吗……？
c420_10_boss_short	别贫了。
c420_10_ctskill	什么……？天啊。
c420_10_death_1	不……这不是真的……
c420_10_death_2	唉……
c420_10_drive	下次再会吧。
c420_10_hit_1	唉……
c420_10_hit_2	……
c420_10_hit_3	哎呀，讨厌。
c420_10_prskill	我不相信。
c420_10_skill	什么——？！
c420_10_spa	你没什么话想跟我说吗？
c420_10_startbt	千万别手下留情。
c420_10_story1	……我对你来说就这么没有魅力吗？
c420_10_story2	看来是我误会了。
c420_10_story3	对不起。我还有事。
c420_10_true1	我总觉得被各种事束缚住了。
c420_10_true2	人要是能自由一点就好了。
c420_10_true3	也许是因为我们太过习惯彼此了。
c420_10_victory	这样就好了。
c420_89_boss_long	话说，我有些事想跟你谈谈。
c420_89_boss_short	你还醒着吗？
c420_89_bubble_prskill	我怎么可能原谅你啊！
c420_89_bubble_skill	你就是个渣男！
c420_89_drive	你知道Full Body是什么吗？
c420_89_hit_1	这不可能！
c420_89_hit_2	你疯了！
c420_89_hit_3	为什么是我？！
c420_89_hit_4	是这样？
c420_89_hit_5	说话前好歹过一下脑子吧！
c420_89_hit_6	听着，你……
c420_89_hit_7	哎呀，我很冷静啊。
c420_89_hit_8	哎呀，讨厌。
c420_89_hit_9	这是什么？
c420_89_prskill	我怎么可能原谅你啊！
c420_89_skill	你就是个渣男！
c420_boss_long	你有了别的女人，你觉得我该怎么做？
c420_boss_short	出轨，很快乐吗？
c420_ctskill	我哪里说错了？！
c420_death_1	救命啊！
c420_death_2	啊！
c420_drive	……我好像怀孕了。
c420_hit_1	这是什么？
c420_hit_2	哈。
c420_hit_3	给我让开！
c420_prskill	你就是个渣男！
c420_skill	很……很抱歉。
c420_spa	啊，真是神清气爽呢。
c420_startbt	我要先走一步了！
c420_story1	所以你开心……就好。
c420_story2	喔，我打算生完孩子后回去上班。\至于家务活，一人一半，好吗？\你脱下来的衣服不能再乱丢了！
c420_story3	噢，对了。\你把烟戒了吧。\毕竟抽烟对小孩子不好哎。
c420_true1	要让事情保持原样还不简单，但是……
c420_true2	不是那个，是你的手机！你又买一个！？
c420_true3	老实说，我有点担心。因为我真的猜不到你到底在想什么……
c420_victory	你招惹错人了。
c421_boss_long	那……那个！
c421_boss_short	早安。
c421_ctskill	请让开！
c421_death_1	Zzz……Zzz……
c421_death_2	我们下次见……
c421_drive	我会努力练习的！
c421_hit_1	啊！
c421_hit_2	别担心。没事的。
c421_hit_3	喔！
c421_prskill	我来帮你！
c421_skill	好！
c421_spa	嗯—嗯 ♪
c421_startbt	啊！救救我！
c421_story1	我的音乐让我的心找回了平静。我希望把这种感觉跟大家分享……
c421_story2	呃……这很重要吗？我从没考虑过这件事。只要你们爱着对方……这就足够了，对吧？
c421_story3	没关系。我会一直陪着你的。
c421_true1	我原本可以表现得更好一点，但是……
c421_true2	不好意思……别人怎么生活，管你什么事？
c421_true3	我知道你有女朋友了，所以……\我在试着压抑对你的感情。
c421_victory	成功了呢。
c422_88_boss_long	请对我温柔一点。♥
c422_88_boss_short	太好了，我已经等累了。
c422_88_hit_1	不必手下留情！
c422_88_hit_2	别讨厌我。
c422_88_hit_3	啊？
c422_88_hit_4	真是吓到我了！
c422_88_hit_5	哎呀哎呀。
c422_88_hit_6	嘿嘿。♥
c422_88_hit_7	你不觉得我挺结实吗？
c422_88_hit_8	真是太积极了。♥
c422_88_hit_9	放轻松点。
c422_boss_long	不要因此讨厌我喔。
c422_boss_short	喂，别说谎。♥
c422_ctskill	可别逃了！
c422_death_1	被拒绝总是很痛苦的……
c422_death_2	啊……
c422_drive	我会好好抱紧你的。♥
c422_hit_1	呃啊！
c422_hit_2	啊！
c422_hit_3	喂！温柔一点！
c422_prskill	想来点爱吗？
c422_skill	啵。♥
c422_spa	小恶魔，你真是太有趣了。\就算你应付不了我，\还是努力想让我为你加分呢。
c422_startbt	就交给我吧。♥
c422_story1	百闻不如一见！\让我们直接来体验一下吧！
c422_story2	我原本还以为你只是对她有点意思而已。\但这样的话……我就完全没有机会了。
c422_story3	唉，\我以前认为，爱只是一种手段。
c422_true1	你为什么那么拘谨？\你的野性直觉呢？\难道不知道要有那个才能繁衍物种吗？
c422_true2	孩子不是越多越好吗？\来吧。别害羞。♥
c422_true3	小恶魔，我才不管你地位有多低。\那永远都不是问题。
c422_victory	你知道这都拜我所赐吧？
c423_10_boss_long	达令……我想你。
c423_10_boss_short	我要回到达令的身边。
c423_10_ctskill	这只是场梦，对吧？
c423_10_death_1	求你了……\拜托住手……
c423_10_death_2	我想醒来……
c423_10_drive	这会结束一切！
c423_10_hit_1	啊……
c423_10_hit_2	我讨厌这样。
c423_10_hit_3	拜托……
c423_10_prskill	如果我赢了，我就吃了你。
c423_10_skill	我那样做的时候很痛，对吧？
c423_10_spa	我想跟达令一起来这里。
c423_10_startbt	如果我能从这场梦醒来就好。
c423_10_story1	唉，\达令到底跑去哪了？
c423_10_story2	达令……\我好开心……\我绝不会离开你。
c423_10_story3	求你了，除了我的命之外要拿走什么都可以……\我只想再见达令一面。
c423_10_true1	如果我没见到达令，我可能会疯掉。
c423_10_true2	唉，\能跟达令结婚我太高兴了。
c423_10_true3	我好害怕……\那只是场梦，\但我为什么如此害怕？
c423_10_victory	我能逃离梦境吗？
c423_87_boss_long	达令……我想你。
c423_87_boss_short	我要回到达令的身边。
c423_87_bubble_prskill	让我回家……回到我亲爱的身边。
c423_87_bubble_skill	请把我从梦中唤醒。
c423_87_ctskill	这只是场梦，对吧？
c423_87_death_1	求你了……\拜托住手……
c423_87_death_2	我想醒来……
c423_87_drive	我必须从这场梦中醒来。
c423_87_hit_1	哼嗯……
c423_87_hit_2	我讨厌这样。
c423_87_hit_3	达令……
c423_87_hit_4	饶我一命。
c423_87_hit_5	不要再来了……
c423_87_hit_6	别这样……
c423_87_hit_7	我觉得我快死了。
c423_87_hit_8	唉……唉……
c423_87_hit_9	救命……
c423_87_prskill	让我回家……回到我亲爱的身边。
c423_87_skill	请把我从梦中唤醒。
c423_88_boss_long	让你看看我全盛时期的力量吧。
c423_88_boss_short	做好觉悟吧。
c423_88_bubble_prskill	这可能会有点痛。嘿嘿嘿。
c423_88_bubble_skill	这样如何啊？！
c423_88_ctskill	要上了！
c423_88_death_1	我想再蹭蹭达令的衣服……
c423_88_death_2	呃……\把亲爱的衣服……\放在我的坟上……\呃……
c423_88_drive	我会加倍奉还的！
c423_88_hit_1	好痛！
c423_88_hit_2	好痛啊！
c423_88_hit_3	等等！
c423_88_hit_4	啊……果然变成这样了吗……
c423_88_hit_5	够了！
c423_88_hit_6	我一定会报仇的！
c423_88_hit_7	无法原谅！
c423_88_hit_8	呜……痛苦……
c423_88_hit_9	哼哼！
c423_88_prskill	这可能会有点痛。嘿嘿嘿。
c423_88_skill	这样如何啊？！
c423_89_boss_long	让你看看我全盛时期的力量吧。
c423_89_boss_short	做好觉悟吧。
c423_89_bubble_prskill	这可能会有点痛。嘿嘿嘿。
c423_89_bubble_skill	这样如何啊？！
c423_89_ctskill	要上了！
c423_89_death_1	我想再蹭蹭达令的衣服……
c423_89_death_2	呃……\把亲爱的衣服……\放在我的坟上……\呃……
c423_89_drive	我会加倍奉还的！
c423_89_hit_1	好痛！
c423_89_hit_2	好痛啊！
c423_89_hit_3	等等！
c423_89_hit_4	啊……果然变成这样了吗……
c423_89_hit_5	够了！
c423_89_hit_6	我一定会报仇的！
c423_89_hit_7	无法原谅！
c423_89_hit_8	呜……痛苦……
c423_89_hit_9	哼哼！
c423_89_prskill	这可能会有点痛。嘿嘿嘿。
c423_89_skill	这样如何啊？！
c423_boss_long	我不是很喜欢太强的对手。
c423_boss_short	你到底是多弱？
c423_ctskill	要上了！
c423_death_1	我想再蹭蹭达令的衣服……
c423_death_2	呃……\把亲爱的衣服……\放在我的坟上……\呃……
c423_drive	我会让你见识一下我的力量！
c423_hit_1	唔！
c423_hit_2	真是太失礼了！
c423_hit_3	这根本就是虐待！
c423_prskill	让我陪你玩玩！
c423_skill	嗯？
c423_spa	哦……\原来天堂就是这样吗？\
c423_startbt	很值得期待。\嘻嘻。
c423_story1	你是怎么在这诱人的宝藏前面\把持住自己的？\嘻嘻……嘻嘻嘻。
c423_story2	这就是达令如此完美的原因！\他衰弱的身心……\有什么比那还棒的呢？
c423_story3	亲爱的，怎么了？\你怎么那么累？\我要帮你好好按摩一下吗？
c423_true1	唉，\我要如何在不被抓到的前提下，\满足自己又吸又磨达令衣服的需求呢？
c423_true2	我想跟达令更亲近一点。\我无法永远只\满足于他的衣服！
c423_true3	达令……我们现在都几乎是夫妻了，\对吧？\有好多事情只有夫妻才能做。♥
c423_victory	嘻嘻……\只要我有心，我就能做到。
c425_10_boss_long	在主面前下跪。
c425_10_boss_short	准备迎接天国降临。
c425_10_ctskill	求主垂怜。
c425_10_death_1	请接走我的灵魂。
c425_10_death_2	恶人战胜了我……
c425_10_drive	看那主的荣光。
c425_10_hit_1	请洁净我的灵魂。
c425_10_hit_2	请聆听我的祈祷。
c425_10_hit_3	主啊……
c425_10_prskill	奉上主名而来的，当受赞美。
c425_10_skill	安息。
c425_10_spa	他的仁慈无穷无尽。\我何德何能可以离开他呢？
c425_10_startbt	主在召唤我。
c425_10_story1	主啊，求祢赐给他们永远的安息。\并以永恒的光辉照耀他们。
c425_10_story2	我知晓\我的救世主存在。
c425_10_story3	我想将你献给祂，但看来……\我的野心太大了。
c425_10_true1	主啊，不要将祢的愤怒系于我的灵，\而是将仁爱置于我的灵之中。
c425_10_true2	主啊，常保我在祢的意念之中。\我的命运交付予祢。
c425_10_true3	弃拒我吧。诅咒我吧。当天国降临\而我回归大地之时，此场战斗必将结束。
c425_10_victory	主的荣光必将照下。
c425_87_boss_long	这是主之地。
c425_87_boss_short	只有主能对我裁定。
c425_87_bubble_prskill	上主垂示。
c425_87_bubble_skill	我必不至动摇。
c425_87_ctskill	愿你从其上归于高位。
c425_87_death_1	死亡终归到来。
c425_87_death_2	请原谅我……
c425_87_drive	请接受我的献礼。
c425_87_hit_1	地狱之火。
c425_87_hit_2	敬爱的主啊，请对我发声吧。
c425_87_hit_3	我该如何而行？
c425_87_hit_4	请原谅我。
c425_87_hit_5	赞美上帝。
