// key	CHAT_
c001_17_boss_long	鏘～鏘！你好，可愛的主人♥
c415_true2	沒有無盡的夏天。\真是可惜。\不過只要等一段日子後，\新的夏天很快就會到來。
c415_true3	麗莎與妲比是我寶貴的徒弟。\是我很重要的緣分。\我很感謝你讓我們相遇。
c415_victory	你知道那是你欠我的吧？
c416_10_boss_long	別跑啊。
c416_10_boss_short	你遇到我時就代表好運用完啦！
c416_10_ctskill	嚇！我嚇到你了，對吧？
c416_10_death_1	喔，天啊…我也比以前還強…
c416_10_death_2	我們改天再一起玩吧…
c416_10_drive	我會把你送往黃泉的！
c416_10_hit_1	喔，拜託啦！
c416_10_hit_2	我會報仇的。
c416_10_hit_3	好痛…
c416_10_prskill	呿，你應該要早點逃的。
c416_10_skill	啊哈哈哈！
c416_10_spa	來吧…\我們一起進去。\把回家這件事忘了吧。
c416_10_startbt	我們來一決勝負吧。如何？
c416_10_story1	話都說了，但依舊聽不懂。\我認識一個這樣的笨蛋。
c416_10_story2	我知道自己沒參加魔王爭奪戰，\所以沒資格這樣說，\但如果你能活著脫身，\那我也不會說那是輸了。
c416_10_story3	在驅魔師的幫忙下擺脫童貞的惡魔…\這真是個恐怖故事，對吧？
c416_10_true1	真可惜。不是很聰明，但還是個可愛的惡魔。\我很慶幸卡那羅不喜歡水槍。
c416_10_true2	我還以為你死了…\好險我錯了。
c416_10_true3	到此之前都是和平但無聊的普通日子。\但我現在玩得很開心。
c416_10_victory	這可不是比水槍戰還好玩嗎？！
c416_87_boss_long	我看起來有這麼強嗎？\別嚇到了。
c416_87_boss_short	鼓起勇氣吧！
c416_87_bubble_prskill	我會讓你見識真正的我。
c416_87_bubble_skill	你很快就會變成幽靈了…\嘿嘿嘿。
c416_87_ctskill	嚇！我嚇到你了，對吧？
c416_87_death_1	喔，天啊…我也比以前還強…
c416_87_death_2	我們改天再一起玩吧…
c416_87_drive	你的墓碑上要刻什麼？
c416_87_hit_1	唔！
c416_87_hit_2	哎呀…
c416_87_hit_3	你還能反擊啊？
c416_87_hit_4	嘿嘿嘿…
c416_87_hit_5	結束了嗎？
c416_87_hit_6	啊…
c416_87_hit_7	哦，天啊。
c416_87_hit_8	我說過這會很痛了。
c416_87_hit_9	不！！！！！！
c416_87_prskill	我會讓你見識真正的我。
c416_87_skill	你的墓碑上要刻什麼？
c416_boss_long	你見過鬼火嗎？
c416_boss_short	好運用完了，對吧？
c416_ctskill	我嚇到你了嗎？\嘻嘻！
c416_death_1	死亡並不是終點…\你知道的吧？
c416_death_2	嘻嘻嘻！
c416_drive	我想聽聽你的尖叫。
c416_hit_1	嗚！
c416_hit_2	唔！
c416_hit_3	唔啊啊啊啊~！啊！
c416_prskill	你逃不了的！
c416_skill	噓。安靜點。
c416_spa	喔，對啊。這是個秘密，但…\我還是會告訴你。\那個小姐一直\盯著你看。
c416_startbt	你有聽到什麼奇怪的聲音嗎？
c416_story1	真是的。吼，煩死了。\我為什麼會有\這樣的姐姐？
c416_story2	我還以為這裡的生活會輕鬆一點。\但一邊照顧什麼也不懂的她們\一邊生活，\比我想的還要辛苦。
c416_story3	通常只有容易受到驚嚇的人類，才會中幽靈的惡作劇，\但我想你也能算在內了。
c416_true1	不覺得水槍戰很幼稚嗎？\嚇唬膽小鬼\好玩多了。\嘻嘻！
c416_true2	你知道嗎？據說隨身帶著七根貓毛，\會帶給你好運。\仔細一想，你不就是貓的後代嗎？\嘻嘻！你最好小心點！
c416_true3	你不該無視靈魂的存在。\死亡不代表著終結。\你也遇過祂們了…\對吧？
c416_victory	什麼？\真不敢相信已經結束了。
c417_10_boss_long	就連我們狐狸都喜歡玩水。
c417_10_boss_short	妾身喜歡涼蔭之地！
c417_10_ctskill	太慢了。
c417_10_death_1	真煩人！
c417_10_death_2	啊…妾身的愛人…
c417_10_drive	你必須用生命為此付出代價。
c417_10_hit_1	哈啊！
c417_10_hit_2	唉……
c417_10_hit_3	好痛！
c417_10_prskill	閉嘴。
c417_10_skill	我回來了！
c417_10_spa	住手！不要沒經過允許就碰妾身的尾巴。
c417_10_startbt	妾身討厭熱！
c417_10_story1	如果妾身能找到一個和他一樣，能讓妾身那麼真心深沉愛著的人，\那妾身就會徹底奉上自己的身心。\妾身在尋找的，就是那樣的幸福。
c417_10_story2	妾身對這些被虛情假意控制的男人\一點興趣都沒有。\但是肉什麼罪過都沒有。
c417_10_story3	嗯……\這樣想的話，妾身真是對他做了壞事呢。\而且在我們經歷了那些事後，\也許別給他帶來更多麻煩才是最好的……
c417_10_true1	你說會照顧妾身的。結果連10人份的肉\都沒辦法買給妾身。你應該為此感到可恥！
c417_10_true2	妾身還能再\愛人嗎？妾身也不知道…
c417_10_true3	妾身想守護自己的承諾。\肉能幫助我忘掉過去。
c417_10_victory	這就對了！
c417_89_boss_long	失去自己所愛的感受……\妾身敢說你一定不明瞭！
c417_89_boss_short	啊……妾身的愛人……
c417_89_ctskill	妾身會讓你知曉痛苦為何物。
c417_89_death_1	啊……到頭來，妾身還是只愛一人……
c417_89_death_2	這樣的話……妾身就能伴在你身邊了……
c417_89_drive	承受妾身的憎恨吧！
c417_89_hit_1	真過分！
c417_89_hit_2	唔……
c417_89_hit_3	呵呵。別逗妾身笑了。
c417_89_hit_4	你在摸哪裡啊？！
c417_89_hit_5	別碰妾身的尾巴！
c417_89_hit_6	你這傢伙…！
c417_89_hit_7	呃啊！
c417_89_hit_8	喔……這可真是意外啊。
c417_89_hit_9	無禮！
c417_89_prskill	妾身憎恨你！
c417_89_skill	妾身很好奇。你這樣的傢伙能承受的了嗎？
c417_boss_long	妾身……妾身在尋找新的戀人。
c417_boss_short	妾身要讓你見識真正的地獄。
c417_ctskill	接招。
c417_death_1	啊，真煩人……
c417_death_2	啊……妾身可能終於……能見到自己的愛人了……
c417_drive	你逃不掉的。
c417_hit_1	嗚……！
c417_hit_2	什麼？你剛剛碰了妾身嗎？
c417_hit_3	很癢啊。
c417_prskill	讓我們來玩玩妾身的尾巴吧。
c417_skill	妾身很好奇。你這樣的傢伙能承受的了嗎？
c417_spa	喂！沒經過允許別碰我的尾巴。
c417_startbt	你能跑到天涯海角，但你逃不出妾身的手掌心。
c417_story1	妾身希望能找到一個能和他一樣，讓妾身能那麼真心且深沉愛著的人，\妾身會徹底奉上自己的身心。\妾身在尋找的，就是那樣的幸福。
c417_story2	妾身對這些被虛情假意控制的男人\一點興趣都沒有……\但是肉什麼罪過都沒有。♥
c417_story3	嗯……\這樣想的話，妾身真是對他做了壞事呢。\而且在我們經歷了那些事後，\也許別給他帶來更多麻煩才是最好的……
c417_true1	尋找新戀情\可不是件容易的事。
c417_true2	所有的現代肉料理都像這樣嗎？！\真是多汁，還有那個肉質……啊，妾身希望自己的新愛人\會是個能給妾身很多肉吃的人！
c417_true3	窮就代表你沒辦法買很多肉給妾身吃。\但你烤的肉卻又是無與倫比美味。\哼。我不會拒絕讓你成為我的新戀人。
c417_victory	來吧，輸家要給妾身肉吃！
c418_boss_long	我會對犯下罪行之人，降下正義的鐵鎚。
c418_boss_short	你是我的對手嗎？\真有趣……
c418_ctskill	邪惡絕不會被饒恕！
c418_death_1	啊……\我還想在你身邊……待久一點……
c418_death_2	我無法完成自己的使命……\原諒我……
c418_drive	我要認真了！
c418_hit_1	嗚啊…
c418_hit_2	喔嗚……
c418_hit_3	無禮！
c418_prskill	我會讓你見識真正的正義！
c418_skill	如果有辦法的話，就來阻止我看看吧！
c418_spa	啊…這真是個…放鬆的好地方。
c418_startbt	我會讓你見識什麼是真正的戰鬥！
c418_story1	我最近到底怎麼了？\我平常不是這樣的啊。
c418_story2	我原本完全不認識她。\但我在第一次看到她後，\就有種極度想保護她的衝動。
c418_story3	所有在這附近害蟲，全都給我注意！\我不會放過任何一個讓玉藻前難過的傢伙！
c418_true1	自從與弓融合後，\我的心就發生了無法預見的變化。\我別無選擇，只能接受這種變化。
c418_true2	在這世界上，有太多人\帶著邪念接近妳。\真是沒辦法，就讓我來保護妳吧……
c418_true3	我想陪伴在妳身邊。\我會保護你不受任何危險傷害。\所以，信任我吧。
c418_victory	理所當然的結局。
c419_boss_long	所以…你覺得我怎麼樣呢…？
c419_boss_short	你喜歡她多過我嗎？
c419_ctskill	你一定要逼我說出口嗎？
c419_death_1	嗚…唔哇啊啊啊…
c419_death_2	騙子。
c419_drive	昨晚…很愉快。
c419_hit_1	可以啊。
c419_hit_2	唔…
c419_hit_3	喝！
c419_prskill	你真色…
c419_skill	…你喜歡眼前看到的吧。
c419_spa	呃…你可以不要這樣盯著我看嗎？感覺很害羞…
c419_startbt	歡迎。
c419_story1	我不會過問你的過去。那不重要。
c419_story2	但從現在開始…如果你劈腿了…我可是會很生氣的。
c419_story3	只要我是你心中的第一，你可以繼續和她來往沒有關係。我們之間還是會保持原狀。
c419_true1	婚姻只不過是個「傳統」，對吧？說真的，誰會想被綁住呢？
c419_true2	聽著…我來這裡是因為我喜歡你。
c419_true3	你是什麼意思？這樣很正常，不是嗎？你想要怎麼過生活都可以…只要你永遠不會背叛我就好…
c419_victory	嘻嘻，謝了…
c420_10_boss_long	喂、喂…你是認真的嗎…？
c420_10_boss_short	別耍笨了。
c420_10_ctskill	什麽…？天啊。
c420_10_death_1	不…這不會是真的…
c420_10_death_2	唉…
c420_10_drive	下次再會吧。
c420_10_hit_1	唉…
c420_10_hit_2	...
c420_10_hit_3	哎呀，討厭。
c420_10_prskill	我不相信。
c420_10_skill	什麼──？！
c420_10_spa	你有什麽話想跟我說嗎？
c420_10_startbt	可別手下留情。
c420_10_story1	…我對你來說就這麼沒有魅力嗎？
c420_10_story2	看來是我誤會了。
c420_10_story3	對不起。我還有事。
c420_10_true1	我總是覺得被各種事束縛了。
c420_10_true2	人再自由一點就好了。
c420_10_true3	也許我們太習慣彼此了。
c420_10_victory	這樣就解決了。
c420_89_boss_long	話說，我有些事想跟你談談。
c420_89_boss_short	還醒著嗎？
c420_89_bubble_prskill	我怎麼可能原諒你啊！
c420_89_bubble_skill	你最差勁了！
c420_89_drive	你知道Full Body是什麽嗎？
c420_89_hit_1	這不可能！
c420_89_hit_2	你瘋了！
c420_89_hit_3	為什麼是我？！
c420_89_hit_4	是這樣？
c420_89_hit_5	別把想到的話直接說出來！
c420_89_hit_6	聽著，你…
c420_89_hit_7	哎呀，我很冷靜啊。
c420_89_hit_8	哎呀，討厭。
c420_89_hit_9	這是什麼？
c420_89_prskill	我怎麼可能原諒你啊！
c420_89_skill	你最差勁了！
c420_boss_long	就因為你有了其他女人，所以一切都沒事了嗎？
c420_boss_short	出軌，很快樂嗎？
c420_ctskill	我哪裡說錯了？！
c420_death_1	救命啊！
c420_death_2	啊！
c420_drive	…我覺得我懷孕了。
c420_hit_1	這是什麼？
c420_hit_2	哈。
c420_hit_3	給我讓開！
c420_prskill	你最差勁了！
c420_skill	很...很抱歉。
c420_spa	啊，真是神清氣爽呢。
c420_startbt	我要先行一步了！
c420_story1	所以你很開心…那就好。
c420_story2	喔，但我生完小孩後打算回去上班。\我們家事只好一人負責一半，好嗎？\你不能再把衣服亂丟了！
c420_story3	噢，對了。\你也不要再抽菸了。\抽菸可對小孩子不好呢。
c420_true1	讓事情維持原狀還滿容易的，但是…
c420_true2	不是那個，是你的手機！你又再買一隻了嗎！？
c420_true3	老實說，我有點擔心。有時候還真難猜你在想什麽…
c420_victory	你惹錯對象了。
c421_boss_long	那、那個！
c421_boss_short	早安。
c421_ctskill	請讓開！
c421_death_1	Zzz…Zzz…
c421_death_2	我們下次見…
c421_drive	我會努力練習的！
c421_hit_1	啊！
c421_hit_2	別擔心。沒事的。
c421_hit_3	喔！
c421_prskill	我來幫你！
c421_skill	好！
c421_spa	嗯—嗯 ♪
c421_startbt	啊！救救我！
c421_story1	我的音樂讓我的心平靜下來。就算是在這種地方也一樣。我也想把這種感覺跟大家分享…
c421_story2	呃…這很重要嗎？我從來沒想過這件事。只要你們愛著對方…這樣就足夠了，對吧？
c421_story3	沒關係。我會一直陪著你的。
c421_true1	我本來希望可以表現更好一點，但是…
c421_true2	不好意思…但別人怎麼過生活你管得著嗎？
c421_true3	我知道你有女朋友了，所以…\我試著壓抑對你的感情。
c421_victory	成功了呢。
c422_88_boss_long	請對我溫柔一點。♥
c422_88_boss_short	太好了，我等的受不了了。
c422_88_hit_1	不用手下留情！
c422_88_hit_2	別討厭我。
c422_88_hit_3	啊？
c422_88_hit_4	真是嚇到我了！
c422_88_hit_5	哎呀哎呀。
c422_88_hit_6	嘿嘿。♥
c422_88_hit_7	你不覺得我挺結實的嗎？
c422_88_hit_8	真是太積極了。♥
c422_88_hit_9	放輕鬆點。
c422_boss_long	不要因此討厭我喔。
c422_boss_short	嘿，別說謊。♥
c422_ctskill	可別逃了！
c422_death_1	被拒絕總是很痛苦……
c422_death_2	啊…
c422_drive	我會好好抱緊你的。♥
c422_hit_1	呃啊！
c422_hit_2	啊！
c422_hit_3	嘿！溫柔一點！
c422_prskill	想來點愛嗎？
c422_skill	嗯－啾。♥
c422_spa	小惡魔，你真是太有趣了。\就算你應付不了我，\還是努力想讓我為你加分呢。
c422_startbt	就交給我吧。♥
c422_story1	百聞不如一見！\讓我們直接來體驗一下吧！
c422_story2	我原本還以為你只是對她有點意思而已。\但這樣？我完全沒有機會了。
c422_story3	唉，\我以前認為，愛只是一種手段。
c422_true1	你為什麼那麼拘謹？\你的野性直覺呢？\難道不知道要有那個才能繁衍物種嗎？
c422_true2	孩子的話不是越多越好嗎？\來吧。別害羞。♥
c422_true3	小惡魔，我才不管你地位有多低。\那永遠都不會是問題的。
c422_victory	你知道這都多虧了我對吧？
c423_10_boss_long	達令…我想你。
c423_10_boss_short	我要回到達令的身邊。
c423_10_ctskill	這只是場夢，對吧？
c423_10_death_1	求你了…\拜託住手…
c423_10_death_2	我想醒來…
c423_10_drive	這會結束一切！
c423_10_hit_1	啊…
c423_10_hit_2	我討厭這樣。
c423_10_hit_3	拜託…
c423_10_prskill	如果我贏了，我會把你吃了。
c423_10_skill	我那樣做的時候很痛，對吧？
c423_10_spa	我想跟達令一起來這裡。
c423_10_startbt	如果我能從這場夢醒來就好。
c423_10_story1	唉，\達令到底跑去哪了？
c423_10_story2	達令…\我好開心…\我絕不會離開你。
c423_10_story3	求你了，除了我的命之外要拿走什麼都可以…\我只想再見達令一面。
c423_10_true1	如果我沒見到達令，我可能會瘋掉。
c423_10_true2	唉，\我太高興能跟達令結婚了。
c423_10_true3	我好害怕…\那只是場夢，\但我為什麼如此害怕？
c423_10_victory	我能逃離夢境嗎？
c423_87_boss_long	達令…我想你。
c423_87_boss_short	我要回到達令的身邊。
c423_87_bubble_prskill	讓我回家…回到我親愛的身邊。
c423_87_bubble_skill	請把我從夢中喚醒。
c423_87_ctskill	這只是場夢，對吧？
c423_87_death_1	求你了…\拜託住手…
c423_87_death_2	我想醒來…
c423_87_drive	我必須從這場夢中醒來。
c423_87_hit_1	哼嗯…
c423_87_hit_2	我討厭這樣。
c423_87_hit_3	達令…
c423_87_hit_4	饒我一命。
c423_87_hit_5	不要再來了…
c423_87_hit_6	別這樣…
c423_87_hit_7	我覺得我快死了。
c423_87_hit_8	唉…唉…
c423_87_hit_9	救命…
c423_87_prskill	讓我回家…回到我親愛的身邊。
c423_87_skill	請把我從夢中喚醒。
c423_88_boss_long	讓你看看我全盛時期的力量吧。
c423_88_boss_short	做好覺悟吧。
c423_88_bubble_prskill	這可能會有點痛。嘿嘿嘿。
c423_88_bubble_skill	這樣如何啊？！
c423_88_ctskill	要上了！
c423_88_death_1	我想再磨蹭一下達令的衣服…
c423_88_death_2	呃…\把親愛的衣服…\放在我的墳上…\呃…
c423_88_drive	我會加倍奉還的！
c423_88_hit_1	好痛！
c423_88_hit_2	好痛啊！
c423_88_hit_3	等等！
c423_88_hit_4	啊...果然變成這樣了嗎...
c423_88_hit_5	夠了！
c423_88_hit_6	我一定會報仇的！
c423_88_hit_7	無法原諒！
c423_88_hit_8	嗚…痛苦…
c423_88_hit_9	哼哼！
c423_88_prskill	這可能會有點痛。嘿嘿嘿。
c423_88_skill	這樣如何啊？！
c423_89_boss_long	讓你看看我全盛時期的力量吧。
c423_89_boss_short	做好覺悟吧。
c423_89_bubble_prskill	這可能會有點痛。嘿嘿嘿。
c423_89_bubble_skill	這樣如何啊？！
c423_89_ctskill	要上了！
c423_89_death_1	我想再磨蹭一下達令的衣服…
c423_89_death_2	呃…\把親愛的衣服…\放在我的墳上…\呃…
c423_89_drive	我會加倍奉還的！
c423_89_hit_1	好痛！
c423_89_hit_2	好痛啊！
c423_89_hit_3	等等！
c423_89_hit_4	啊...果然變成這樣了嗎...
c423_89_hit_5	夠了！
c423_89_hit_6	我一定會報仇的！
c423_89_hit_7	無法原諒！
c423_89_hit_8	嗚…痛苦…
c423_89_hit_9	哼哼！
c423_89_prskill	這可能會有點痛。嘿嘿嘿。
c423_89_skill	這樣如何啊？！
c423_boss_long	我不是很喜歡太強的對手。
c423_boss_short	你到底是多弱？
c423_ctskill	要上了！
c423_death_1	我想再磨蹭一下達令的衣服…
c423_death_2	呃…\把親愛的衣服…\放在我的墳上…\呃…
c423_drive	我會讓你見識一下我的力量！
c423_hit_1	唔！
c423_hit_2	真是太失禮了！
c423_hit_3	這根本就是種虐待！
c423_prskill	讓我陪你玩玩！
c423_skill	嗯？
c423_spa	喔…\原來天堂的感覺就是這樣嗎？\
c423_startbt	這會很值得期待的。\嘻嘻。
c423_story1	你是怎麼在這麼有魅力的寶藏前面\把持住自己的？\嘻嘻…嘻嘻嘻。
c423_story2	這就是達令那麼完美的原因！\他衰弱的身心…\有什麼比那還棒的呢？
c423_story3	親愛的，怎麼了？\你怎麼那麼累？\我要幫你好好按摩一下嗎？
c423_true1	唉，\我要如何在不被抓到的前提下，\滿足自己又吸又磨達令衣服的需求呢？
c423_true2	我想跟達令更親近一點。\我無法永遠只\滿足於他的衣服！
c423_true3	達令…我們現在都幾乎是夫妻了，\對吧？\有好多事情只有夫妻才能做。♥
c423_victory	嘻嘻…\只要我有心，我就能做到。
c425_10_boss_long	在主面前下跪。
c425_10_boss_short	準備迎接天國降臨。
c425_10_ctskill	求主垂憐。
c425_10_death_1	請接走我的靈魂。
c425_10_death_2	惡人戰勝了我…
c425_10_drive	看那主的榮光。
c425_10_hit_1	請潔淨我的靈魂。
c425_10_hit_2	請聆聽我的祈禱。
c425_10_hit_3	主啊…
c425_10_prskill	奉上主名而來的，當受讚美。
c425_10_skill	安息。
c425_10_spa	祂的仁慈無窮無盡。\我何德何能可以離開祂呢？
c425_10_startbt	主在招喚我。
c425_10_story1	主啊，求祢賜給他們永遠的安息。\並以永恆的光輝照耀他們。
c425_10_story2	我知曉\我的救世主存在。
c425_10_story3	我想將你獻給祂，但看來…\我的野心太大了。
c425_10_true1	主啊，不要將祢的憤怒繫於我的靈，\而是將仁愛置於我的靈之中。
c425_10_true2	主啊，常保我在祢的意念之中。\我的命運交付予祢。
c425_10_true3	棄拒我吧。詛咒我吧。當天國降臨\而我回歸大地之時，此場戰鬥必將結束。
c425_10_victory	主的榮光必將照下。
c425_87_boss_long	這是主之地。
c425_87_boss_short	只有主能對我裁定。
c425_87_bubble_prskill	上主垂示。
c425_87_bubble_skill	我必不至動搖。
c425_87_ctskill	願你從其上歸於高位。
c425_87_death_1	死亡終歸到來。
c425_87_death_2	請原諒我…
c425_87_drive	請接受我的獻禮。
c425_87_hit_1	地獄之火。
c425_87_hit_2	敬愛的主啊，請對我發聲吧。
c425_87_hit_3	我該如何而行？
c425_87_hit_4	請原諒我。
c425_87_hit_5	讚美上帝。
c425_87_hit_6	請說，因祢的奉侍正在聆聽。
c425_87_hit_7	我是最為悲賤的存在。
c425_87_hit_8	求祢憐憫我…
c425_87_hit_9	請眾同禱。
c425_87_prskill	上主垂示。
c425_87_skill	我必不至動搖。
c425_88_boss_long	這是主之地。
c425_88_boss_short	只有主能對我裁定。
c425_88_bubble_prskill	上主垂示。
c425_88_bubble_skill	我必不至動搖。
c425_88_ctskill	願你從其上歸於高位。
c425_88_death_1	死亡終歸到來。
c425_88_death_2	請原諒我…
c425_88_drive	請接受我的獻禮。
c425_88_hit_1	地獄之火。
c425_88_hit_2	敬愛的主啊，請對我發聲吧。
c425_88_hit_3	我該如何而行？
c425_88_hit_4	請原諒我。
c425_88_hit_5	讚美上帝。
c425_88_hit_6	請說，因祢的奉侍正在聆聽。
c425_88_hit_7	我是最為悲賤的存在。
c425_88_hit_8	求祢憐憫我…
c425_88_hit_9	請眾同禱。
c425_88_prskill	上主垂示。
c425_88_skill	我必不至動搖。
c425_89_boss_long	這是主之地。
c425_89_boss_short	只有主能對我裁定。
c425_89_bubble_prskill	上主垂示。
c425_89_bubble_skill	我必不至動搖。
c425_89_ctskill	願你從其上歸於高位。
c425_89_death_1	死亡終歸到來。
c425_89_death_2	請原諒我…
c425_89_drive	請接受我的獻禮。
c425_89_hit_1	地獄之火。
c425_89_hit_2	敬愛的主啊，請對我發聲吧。
c425_89_hit_3	我該如何而行？
c425_89_hit_4	請原諒我。
c425_89_hit_5	讚美上帝。
c425_89_hit_6	請說，因祢的奉侍正在聆聽。
c425_89_hit_7	我是最為悲賤的存在。
c425_89_hit_8	求祢憐憫我…
c425_89_hit_9	請眾同禱。
c425_89_prskill	上主垂示。
c425_89_skill	我必不至動搖。
c425_boss_long	離開，不然就將接受詛咒。
c425_boss_short	你將面臨永遠的制裁。
c425_ctskill	願你從其上歸於高位。
c425_death_1	死亡終歸到來。
c425_death_2	請原諒我…
c425_drive	請接受我的獻禮。
c425_hit_1	見證我的痛苦。
c425_hit_2	解救我。
c425_hit_3	記得我嗎？
c425_prskill	為我等祈禱。
c425_skill	退散吧！
c425_spa	祂的仁慈無窮無盡。\我何德何能可以離開祂呢？
c425_startbt	敬愛的主，我將自身獻給祢。
c425_story1	主啊，求祢賜給他們永遠的安息。\並以永恆的光輝照耀他們。
c425_story2	我知曉\我的救世主存在。
c425_story3	我想將你獻給祂，但看來…\我的野心太大了。
c425_true1	我只為祂存在。當時刻到來，\我會向主奉獻自身，並消散在地獄之中。
c425_true2	我拼上自己的生命以行祢的聖業…\主啊，主啊，祢為何遺棄了我？
c425_true3	我是盲目的。主指引了我，\但我卻不見光明。我所到之處總是深埋黑暗。
c425_victory	奉主名來的，是應當稱頌的。
c426_00_boss_long	我會獻上自己的全力。
c426_00_boss_short	就交給我吧！
c426_00_ctskill	先手必勝！
c426_00_death_1	也許我的野心太大了……
c426_00_death_2	哎呀…真是累死了……
c426_00_drive	我會一次就成功的！
c426_00_hit_1	好痛！
c426_00_hit_2	啊，糟糕！
c426_00_hit_3	很痛欸！
c426_00_prskill	我會成功的！
c426_00_skill	我不能輸！
c426_00_spa	你說什麼？我還以為我能一個人泡湯的……不是嗎？
c426_00_startbt	如果我一定要戰鬥的話…！
c426_00_story1	我不能落於人後，或讓任何人阻止我！
c426_00_story2	我的關係加深了嗎？\那我們能一起生小孩了嗎？
c426_00_story3	第一之外的事物，都沒有意義。
c426_00_true1	我成為了做任何事都沒辦法一次成功的人。\不管我多努力都一樣……
c426_00_true2	當你告訴我，我很勇敢時，我不再對自己\什麼事都要做兩次感到羞愧了。謝謝你。
c426_00_true3	我想我就是那時候愛上你的。你接受了我\真正的樣子。我不在乎你是不是惡魔。我真的很喜歡你。
c426_00_victory	我成功了！
c426_boss_long	我們都知道這會有什麼樣的結局。我真的需要戰鬥嗎？
c426_boss_short	你以為能打敗我嗎？
c426_ctskill	這是我的！
c426_death_1	喔，不……
c426_death_2	不可能！
c426_drive	我們來做個了結吧！
c426_hit_1	只有這樣？
c426_hit_2	啊？
c426_hit_3	啊！
c426_prskill	「探路者」就是我的小名！
c426_skill	我要上了！
c426_spa	我對休息不感興趣。
c426_startbt	我們一定會贏的。我們來做個了結吧！
c426_story1	我可不打算落於人後。沒人能阻止我！
c426_story2	我可以認為我們能有個結果嗎？\我們會一起生小孩的，對吧？
c426_story3	如果你無法成為第一，那就沒有意義了。
c426_true1	主人，你的鞋底都磨平了。對不起，\你沒辦法買那雙球鞋，都是我的錯。但請不要取消我們的婚禮。好嗎？
c426_true2	安布羅西亞說你是個好人。\你是打算收一大堆後宮來成為魔王嗎？
c426_true3	我的契約者因為\沒辦法一次就把事情做好，而被嘲笑。我不知道那是什麼感覺，畢竟我做任何事都是第一。
c426_victory	啊，我贏了。又贏了。
c428_88_boss_long	恭迎主的降臨。
c428_88_boss_short	請垂憐我們吧。
c428_88_bubble_prskill	以主刃之名。
c428_88_bubble_skill	助我們免地獄永火。
c428_88_ctskill	以主之權威。
c428_88_death_1	火焰無法熄滅。
c428_88_death_2	天國之門...
c428_88_drive	你的審判到來了。
c428_88_hit_1	主啊…
c428_88_hit_2	膜拜吧。
c428_88_hit_3	主啊，我向你祈求。
c428_88_hit_4	退散吧！
c428_88_hit_5	照看我吧。
c428_88_hit_6	解救我。
c428_88_hit_7	審判日那天…
c428_88_hit_8	災害等候著你。
c428_88_hit_9	照看我的痛苦吧。
c428_88_prskill	撒旦，退散吧。
c428_88_skill	臣服吧。
c428_89_boss_long	恭迎主的降臨。
c428_89_boss_short	請垂憐我們吧。
c428_89_bubble_prskill	以主刃之名。
c428_89_bubble_skill	助我們免地獄永火。
c428_89_ctskill	以主之權威。
c428_89_death_1	火焰無法熄滅。
c428_89_death_2	天國之門。
c428_89_drive	你的審判到來了。
c428_89_hit_1	主啊…
c428_89_hit_2	膜拜吧。
c428_89_hit_3	主啊，我向你祈求。
c428_89_hit_4	退散吧！
c428_89_hit_5	照看我吧。
c428_89_hit_6	解救我。
c428_89_hit_7	審判日那天…
c428_89_hit_8	災害等候著你。
c428_89_hit_9	照看我的痛苦吧。
c428_89_prskill	撒旦，退散吧。
c428_89_skill	臣服吧。
c428_boss_long	萬物盡歸主。
c428_boss_short	感謝上帝。
c428_ctskill	以主之權威。
c428_death_1	火焰無法熄滅。
c428_death_2	天國之門...
c428_drive	榮歸主頌。
c428_hit_1	請有耐心點。虔誠。
c428_hit_2	神與我同在。
c428_hit_3	見證主的苦難。
c428_prskill	撒旦，退散吧。
c428_skill	臣服吧。
c428_spa	那天即將到來，\風中的鳥語也將靜默。
c428_startbt	何人膽敢抵觸主？
c428_story1	你沒必要知道我的名諱。\我只是迷失之人的引路者。
c428_story2	領所有靈魂前往天國，\尤其是那些需要主之寬恕的靈。阿門。
c428_story3	你現在明瞭自己的罪，\主將給予仁慈。
c428_true1	主的雙目有著永不熄滅的火光。\無人能逃離祂的審判。
c428_true2	我的左手沾染了義人的血；\而左手則是惡人之血。
c428_true3	遮蓋你的耳朵，將你的臉埋入雙膝之間吧。\神就要宣布審判了。
c428_victory	宣揚主的勝利。
c429_88_boss_long	你需要我的協助嗎？
c429_88_boss_short	這一定也是命中注定。
c429_88_bubble_prskill	我毫無悔恨。
c429_88_bubble_skill	失禮了。
c429_88_ctskill	看來我們思考的方式並不一樣呢。
c429_88_death_1	我沒想到會變成這樣。
c429_88_death_2	我在想他會不會生我的氣。
c429_88_drive	如果那是你的願望……
c429_88_hit_1	大意了啊。
c429_88_hit_2	啊。
c429_88_hit_3	唉…
c429_88_hit_4	請別這樣做。
c429_88_hit_5	我撐的下去。
c429_88_hit_6	很快就會結束的。
c429_88_hit_7	唔啊！
c429_88_hit_8	呃啊！
c429_88_hit_9	唔哇！
c429_88_prskill	我做對了嗎？
c429_88_skill	對不起。
c429_boss_long	你需要我的協助嗎？
c429_boss_short	這一定也是命中注定。
c429_ctskill	看來我們思考的方式並不一樣呢。
c429_death_1	我沒想到會變成這樣。
c429_death_2	我在想他會不會生我的氣。
c429_drive	如果那是你的願望！
c429_hit_1	大意了啊。
c429_hit_2	唔啊！
c429_hit_3	唉…
c429_prskill	我做對了嗎？
c429_skill	對不起。
